Full Name,Sheet Name,Form Name,Gen,SubLegendary,Legendary,Mythical,Species,Type 1,Type 2,Height (m),Weight (kg),Ability 1,Ability 2,Hidden Ability,BST,HP,ATK,DEF,SP. ATK,SP. DEF,SPD,catchRate,baseFriendship,baseExp,growthRate,MALE%,Clean Name,Starter,hasVariants,dex #,starterCost,starterDex
ZIGZAGOON,ZIGZAGOON,,3,FALSE,FALSE,FALSE,Tiny Raccoon Pokémon,NORMAL,,0.4,17.5,PICKUP,GLUTTONY,QUICK_FEET,240,38,30,41,30,41,60,255,50,56,MEDIUM_FAST,50,Zigzagoon,ZIGZAGOON,TRUE,263,2,263
LINOONE,LINOONE,,3,FALSE,FALSE,FALSE,Rushing Pokémon,NORMAL,,0.5,32.5,PICKUP,GLUTTONY,QUICK_FEET,420,78,70,61,50,61,100,90,50,147,MEDIUM_FAST,50,Linoone,ZIGZAGOON,TRUE,264,,263
WURMPLE,WURMPLE,,3,FALSE,FALSE,FALSE,Worm Pokémon,BUG,,0.3,3.6,SHIELD_DUST,NONE,RUN_AWAY,195,45,45,35,20,30,20,255,70,56,MEDIUM_FAST,50,Wurmple,WURMPLE,TRUE,265,1,265
SILCOON,SILCOON,,3,FALSE,FALSE,FALSE,Cocoon Pokémon,BUG,,0.6,10,SHED_SKIN,NONE,SHED_SKIN,205,50,35,55,25,25,15,120,70,72,MEDIUM_FAST,50,Silcoon,WURMPLE,TRUE,266,,265
BEAUTIFLY,BEAUTIFLY,,3,FALSE,FALSE,FALSE,Butterfly Pokémon,BUG,FLYING,1,28.4,SWARM,NONE,RIVALRY,395,60,70,50,100,50,65,45,70,198,MEDIUM_FAST,50,Beautifly,WURMPLE,TRUE,267,,265
CASCOON,CASCOON,,3,FALSE,FALSE,FALSE,Cocoon Pokémon,BUG,,0.7,11.5,SHED_SKIN,NONE,SHED_SKIN,205,50,35,55,25,25,15,120,70,72,MEDIUM_FAST,50,Cascoon,WURMPLE,TRUE,268,,265
DUSTOX,DUSTOX,,3,FALSE,FALSE,FALSE,Poison Moth Pokémon,BUG,POISON,1.2,31.6,SHIELD_DUST,NONE,COMPOUND_EYES,385,60,50,70,50,90,65,45,70,193,MEDIUM_FAST,50,Dustox,WURMPLE,TRUE,269,,265
LOTAD,LOTAD,,3,FALSE,FALSE,FALSE,Water Weed Pokémon,WATER,GRASS,0.5,2.6,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,220,40,30,30,40,50,30,255,50,44,MEDIUM_SLOW,50,Lotad,LOTAD,FALSE,270,3,270
LOMBRE,LOMBRE,,3,FALSE,FALSE,FALSE,Jolly Pokémon,WATER,GRASS,1.2,32.5,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,340,60,50,50,60,70,50,120,50,119,MEDIUM_SLOW,50,Lombre,LOTAD,FALSE,271,,270
LUDICOLO,LUDICOLO,,3,FALSE,FALSE,FALSE,Carefree Pokémon,WATER,GRASS,1.5,55,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,480,80,70,70,90,100,70,45,50,240,MEDIUM_SLOW,50,Ludicolo,LOTAD,FALSE,272,,270
SEEDOT,SEEDOT,,3,FALSE,FALSE,FALSE,Acorn Pokémon,GRASS,,0.5,4,CHLOROPHYLL,EARLY_BIRD,PICKPOCKET,220,40,40,50,30,30,30,255,50,44,MEDIUM_SLOW,50,Seedot,SEEDOT,FALSE,273,2,273
NUZLEAF,NUZLEAF,,3,FALSE,FALSE,FALSE,Wily Pokémon,GRASS,DARK,1,28,CHLOROPHYLL,EARLY_BIRD,PICKPOCKET,340,70,70,40,60,40,60,120,50,119,MEDIUM_SLOW,50,Nuzleaf,SEEDOT,FALSE,274,,273
SHIFTRY,SHIFTRY,,3,FALSE,FALSE,FALSE,Wicked Pokémon,GRASS,DARK,1.3,59.6,CHLOROPHYLL,WIND_RIDER,PICKPOCKET,480,90,100,60,90,60,80,45,50,240,MEDIUM_SLOW,50,Shiftry,SEEDOT,FALSE,275,,273
TAILLOW,TAILLOW,,3,FALSE,FALSE,FALSE,Tiny Swallow Pokémon,NORMAL,FLYING,0.3,2.3,GUTS,NONE,SCRAPPY,270,40,55,30,30,30,85,200,70,54,MEDIUM_SLOW,50,Taillow,TAILLOW,TRUE,276,3,276
SWELLOW,SWELLOW,,3,FALSE,FALSE,FALSE,Swallow Pokémon,NORMAL,FLYING,0.7,19.8,GUTS,NONE,SCRAPPY,455,60,85,60,75,50,125,45,70,159,MEDIUM_SLOW,50,Swellow,TAILLOW,TRUE,277,,276
WINGULL,WINGULL,,3,FALSE,FALSE,FALSE,Seagull Pokémon,WATER,FLYING,0.6,9.5,KEEN_EYE,HYDRATION,RAIN_DISH,270,40,30,30,55,30,85,190,50,54,MEDIUM_FAST,50,Wingull,WINGULL,TRUE,278,2,278
PELIPPER,PELIPPER,,3,FALSE,FALSE,FALSE,Water Bird Pokémon,WATER,FLYING,1.2,28,KEEN_EYE,DRIZZLE,RAIN_DISH,440,60,50,100,95,70,65,45,50,154,MEDIUM_FAST,50,Pelipper,WINGULL,TRUE,279,,278
RALTS,RALTS,,3,FALSE,FALSE,FALSE,Feeling Pokémon,PSYCHIC,FAIRY,0.4,6.6,SYNCHRONIZE,TRACE,TELEPATHY,198,28,25,25,45,35,40,235,35,40,SLOW,50,Ralts,RALTS,TRUE,280,4,280
KIRLIA,KIRLIA,,3,FALSE,FALSE,FALSE,Emotion Pokémon,PSYCHIC,FAIRY,0.8,20.2,SYNCHRONIZE,TRACE,TELEPATHY,278,38,35,35,65,55,50,120,35,97,SLOW,50,Kirlia,RALTS,TRUE,281,,280
GARDEVOIR,GARDEVOIR,,3,FALSE,FALSE,FALSE,Embrace Pokémon,PSYCHIC,FAIRY,1.6,48.4,SYNCHRONIZE,TRACE,TELEPATHY,518,68,65,65,125,115,80,45,35,259,SLOW,50,Gardevoir,RALTS,TRUE,282,,280
GARDEVOIR (Normal),GARDEVOIR,Normal,,,,,,PSYCHIC,FAIRY,1.6,48.4,SYNCHRONIZE,TRACE,TELEPATHY,518,68,65,65,125,115,80,45,35,259,,,Gardevoir,RALTS,TRUE,282,,280
GARDEVOIR (Mega),GARDEVOIR,Mega,,,,,,PSYCHIC,FAIRY,1.6,48.4,PIXILATE,PIXILATE,PIXILATE,618,68,85,65,165,135,100,45,35,259,,,Gardevoir,RALTS,TRUE,282,,280
SURSKIT,SURSKIT,,3,FALSE,FALSE,FALSE,Pond Skater Pokémon,BUG,WATER,0.5,1.7,SWIFT_SWIM,NONE,RAIN_DISH,269,40,30,32,50,52,65,200,70,54,MEDIUM_FAST,50,Surskit,SURSKIT,FALSE,283,2,283
MASQUERAIN,MASQUERAIN,,3,FALSE,FALSE,FALSE,Eyeball Pokémon,BUG,FLYING,0.8,3.6,INTIMIDATE,NONE,UNNERVE,454,70,60,62,100,82,80,75,70,159,MEDIUM_FAST,50,Masquerain,SURSKIT,FALSE,284,,283
SHROOMISH,SHROOMISH,,3,FALSE,FALSE,FALSE,Mushroom Pokémon,GRASS,,0.4,4.5,EFFECT_SPORE,POISON_HEAL,QUICK_FEET,295,60,40,60,40,60,35,255,70,59,FLUCTUATING,50,Shroomish,SHROOMISH,TRUE,285,3,285
BRELOOM,BRELOOM,,3,FALSE,FALSE,FALSE,Mushroom Pokémon,GRASS,FIGHTING,1.2,39.2,EFFECT_SPORE,POISON_HEAL,TECHNICIAN,460,60,130,80,60,60,70,90,70,161,FLUCTUATING,50,Breloom,SHROOMISH,TRUE,286,,285
SLAKOTH,SLAKOTH,,3,FALSE,FALSE,FALSE,Slacker Pokémon,NORMAL,,0.8,24,TRUANT,NONE,STALL,280,60,60,60,35,35,30,255,70,56,SLOW,50,Slakoth,SLAKOTH,FALSE,287,4,287
VIGOROTH,VIGOROTH,,3,FALSE,FALSE,FALSE,Wild Monkey Pokémon,NORMAL,,1.4,46.5,VITAL_SPIRIT,NONE,INSOMNIA,440,80,80,80,55,55,90,120,70,154,SLOW,50,Vigoroth,SLAKOTH,FALSE,288,,287
SLAKING,SLAKING,,3,FALSE,FALSE,FALSE,Lazy Pokémon,NORMAL,,2,130.5,TRUANT,NONE,STALL,670,150,160,100,95,65,100,45,70,285,SLOW,50,Slaking,SLAKOTH,FALSE,289,,287
NINCADA,NINCADA,,3,FALSE,FALSE,FALSE,Trainee Pokémon,BUG,GROUND,0.5,5.5,COMPOUND_EYES,NONE,RUN_AWAY,266,31,45,90,30,30,40,255,50,53,ERRATIC,50,Nincada,NINCADA,TRUE,290,4,290
NINJASK,NINJASK,,3,FALSE,FALSE,FALSE,Ninja Pokémon,BUG,FLYING,0.8,12,SPEED_BOOST,NONE,INFILTRATOR,456,61,90,45,50,50,160,120,50,160,ERRATIC,50,Ninjask,NINCADA,TRUE,291,,290
SHEDINJA,SHEDINJA,,3,FALSE,FALSE,FALSE,Shed Pokémon,BUG,GHOST,0.8,1.2,WONDER_GUARD,NONE,NONE,236,1,90,45,30,30,40,45,50,83,ERRATIC,null,Shedinja,NINCADA,TRUE,292,,290
WHISMUR,WHISMUR,,3,FALSE,FALSE,FALSE,Whisper Pokémon,NORMAL,,0.6,16.3,SOUNDPROOF,NONE,RATTLED,240,64,51,23,51,23,28,190,50,48,MEDIUM_SLOW,50,Whismur,WHISMUR,FALSE,293,2,293
LOUDRED,LOUDRED,,3,FALSE,FALSE,FALSE,Big Voice Pokémon,NORMAL,,1,40.5,SOUNDPROOF,NONE,SCRAPPY,360,84,71,43,71,43,48,120,50,126,MEDIUM_SLOW,50,Loudred,WHISMUR,FALSE,294,,293
EXPLOUD,EXPLOUD,,3,FALSE,FALSE,FALSE,Loud Noise Pokémon,NORMAL,,1.5,84,SOUNDPROOF,NONE,SCRAPPY,490,104,91,63,91,73,68,45,50,245,MEDIUM_SLOW,50,Exploud,WHISMUR,FALSE,295,,293
MAKUHITA,MAKUHITA,,3,FALSE,FALSE,FALSE,Guts Pokémon,FIGHTING,,1,86.4,THICK_FAT,GUTS,SHEER_FORCE,237,72,60,30,20,30,25,180,70,47,FLUCTUATING,75,Makuhita,MAKUHITA,TRUE,296,3,296
HARIYAMA,HARIYAMA,,3,FALSE,FALSE,FALSE,Arm Thrust Pokémon,FIGHTING,,2.3,253.8,THICK_FAT,GUTS,SHEER_FORCE,474,144,120,60,40,60,50,200,70,166,FLUCTUATING,75,Hariyama,MAKUHITA,TRUE,297,,296
AZURILL,AZURILL,,3,FALSE,FALSE,FALSE,Polka Dot Pokémon,NORMAL,FAIRY,0.2,2,THICK_FAT,HUGE_POWER,SAP_SIPPER,190,50,20,40,20,40,20,150,50,38,FAST,25,Azurill,AZURILL,TRUE,298,4,298
NOSEPASS,NOSEPASS,,3,FALSE,FALSE,FALSE,Compass Pokémon,ROCK,,1,97,STURDY,MAGNET_PULL,SAND_FORCE,375,30,45,135,45,90,30,255,70,75,MEDIUM_FAST,50,Nosepass,NOSEPASS,TRUE,299,2,299
SKITTY,SKITTY,,3,FALSE,FALSE,FALSE,Kitten Pokémon,NORMAL,,0.6,11,CUTE_CHARM,NORMALIZE,WONDER_SKIN,260,50,45,45,35,35,50,255,70,52,FAST,25,Skitty,SKITTY,TRUE,300,1,300
DELCATTY,DELCATTY,,3,FALSE,FALSE,FALSE,Prim Pokémon,NORMAL,,1.1,32.6,CUTE_CHARM,NORMALIZE,WONDER_SKIN,400,70,65,65,55,55,90,60,70,140,FAST,25,Delcatty,SKITTY,TRUE,301,,300
SABLEYE,SABLEYE,,3,FALSE,FALSE,FALSE,Darkness Pokémon,DARK,GHOST,0.5,11,KEEN_EYE,STALL,PRANKSTER,380,50,75,75,65,65,50,45,35,133,MEDIUM_SLOW,50,Sableye,SABLEYE,TRUE,302,2,302
SABLEYE (Normal),SABLEYE,Normal,,,,,,DARK,GHOST,0.5,11,KEEN_EYE,STALL,PRANKSTER,380,50,75,75,65,65,50,45,35,133,,,Sableye,SABLEYE,TRUE,302,2,302
SABLEYE (Mega),SABLEYE,Mega,,,,,,DARK,GHOST,0.5,161,MAGIC_BOUNCE,MAGIC_BOUNCE,MAGIC_BOUNCE,480,50,85,125,85,115,20,45,35,133,,,Sableye,SABLEYE,TRUE,302,2,302
MAWILE,MAWILE,,3,FALSE,FALSE,FALSE,Deceiver Pokémon,STEEL,FAIRY,0.6,11.5,HYPER_CUTTER,INTIMIDATE,SHEER_FORCE,380,50,85,85,55,55,50,45,50,133,FAST,50,Mawile,MAWILE,TRUE,303,2,303
MAWILE (Normal),MAWILE,Normal,,,,,,STEEL,FAIRY,0.6,11.5,HYPER_CUTTER,INTIMIDATE,SHEER_FORCE,380,50,85,85,55,55,50,45,50,133,,,Mawile,MAWILE,TRUE,303,2,303
MAWILE (Mega),MAWILE,Mega,,,,,,STEEL,FAIRY,1,23.5,HUGE_POWER,HUGE_POWER,HUGE_POWER,480,50,105,125,55,95,50,45,50,133,,,Mawile,MAWILE,TRUE,303,2,303
ARON,ARON,,3,FALSE,FALSE,FALSE,Iron Armor Pokémon,STEEL,ROCK,0.4,60,STURDY,ROCK_HEAD,HEAVY_METAL,330,50,70,100,40,40,30,180,35,66,SLOW,50,Aron,ARON,TRUE,304,3,304
LAIRON,LAIRON,,3,FALSE,FALSE,FALSE,Iron Armor Pokémon,STEEL,ROCK,0.9,120,STURDY,ROCK_HEAD,HEAVY_METAL,430,60,90,140,50,50,40,90,35,151,SLOW,50,Lairon,ARON,TRUE,305,,304
AGGRON,AGGRON,,3,FALSE,FALSE,FALSE,Iron Armor Pokémon,STEEL,ROCK,2.1,360,STURDY,ROCK_HEAD,HEAVY_METAL,530,70,110,180,60,60,50,45,35,265,SLOW,50,Aggron,ARON,TRUE,306,,304
AGGRON (Normal),AGGRON,Normal,,,,,,STEEL,ROCK,2.1,360,STURDY,ROCK_HEAD,HEAVY_METAL,530,70,110,180,60,60,50,45,35,265,,,Aggron,ARON,TRUE,306,,304
AGGRON (Mega),AGGRON,Mega,,,,,,STEEL,,2.2,395,FILTER,FILTER,FILTER,630,70,140,230,60,80,50,45,35,265,,,Aggron,ARON,TRUE,306,,304
MEDITITE,MEDITITE,,3,FALSE,FALSE,FALSE,Meditate Pokémon,FIGHTING,PSYCHIC,0.6,11.2,PURE_POWER,NONE,TELEPATHY,280,30,40,55,40,55,60,180,70,56,MEDIUM_FAST,50,Meditite,MEDITITE,TRUE,307,3,307
MEDICHAM,MEDICHAM,,3,FALSE,FALSE,FALSE,Meditate Pokémon,FIGHTING,PSYCHIC,1.3,31.5,PURE_POWER,NONE,TELEPATHY,410,60,60,75,60,75,80,90,70,144,MEDIUM_FAST,50,Medicham,MEDITITE,TRUE,308,,307
MEDICHAM (Normal),MEDICHAM,Normal,,,,,,FIGHTING,PSYCHIC,1.3,31.5,PURE_POWER,NONE,TELEPATHY,410,60,60,75,60,75,80,90,70,144,,,Medicham,MEDITITE,TRUE,308,,307
MEDICHAM (Mega),MEDICHAM,Mega,,,,,,FIGHTING,PSYCHIC,1.3,31.5,PURE_POWER,NONE,PURE_POWER,510,60,100,85,80,85,100,90,70,144,,,Medicham,MEDITITE,TRUE,308,,307
ELECTRIKE,ELECTRIKE,,3,FALSE,FALSE,FALSE,Lightning Pokémon,ELECTRIC,,0.6,15.2,STATIC,LIGHTNING_ROD,MINUS,295,40,45,40,65,40,65,120,50,59,SLOW,50,Electrike,ELECTRIKE,TRUE,309,2,309
MANECTRIC,MANECTRIC,,3,FALSE,FALSE,FALSE,Discharge Pokémon,ELECTRIC,,1.5,40.2,STATIC,LIGHTNING_ROD,MINUS,475,70,75,60,105,60,105,45,50,166,SLOW,50,Manectric,ELECTRIKE,TRUE,310,,309
MANECTRIC (Normal),MANECTRIC,Normal,,,,,,ELECTRIC,,1.5,40.2,STATIC,LIGHTNING_ROD,MINUS,475,70,75,60,105,60,105,45,50,166,,,Manectric,ELECTRIKE,TRUE,310,,309
MANECTRIC (Mega),MANECTRIC,Mega,,,,,,ELECTRIC,,1.8,44,INTIMIDATE,INTIMIDATE,INTIMIDATE,575,70,75,80,135,80,135,45,50,166,,,Manectric,ELECTRIKE,TRUE,310,,309
PLUSLE,PLUSLE,,3,FALSE,FALSE,FALSE,Cheering Pokémon,ELECTRIC,,0.4,4.2,PLUS,NONE,LIGHTNING_ROD,405,60,50,40,85,75,95,200,70,142,MEDIUM_FAST,50,Plusle,PLUSLE,TRUE,311,2,311
MINUN,MINUN,,3,FALSE,FALSE,FALSE,Cheering Pokémon,ELECTRIC,,0.4,4.2,MINUS,NONE,VOLT_ABSORB,405,60,40,50,75,85,95,200,70,142,MEDIUM_FAST,50,Minun,MINUN,TRUE,312,2,312
VOLBEAT,VOLBEAT,,3,FALSE,FALSE,FALSE,Firefly Pokémon,BUG,,0.7,17.7,ILLUMINATE,SWARM,PRANKSTER,430,65,73,75,47,85,85,150,70,151,ERRATIC,100,Volbeat,VOLBEAT,TRUE,313,2,313
ILLUMISE,ILLUMISE,,3,FALSE,FALSE,FALSE,Firefly Pokémon,BUG,,0.6,17.7,OBLIVIOUS,TINTED_LENS,PRANKSTER,430,65,47,75,73,85,85,150,70,151,FLUCTUATING,0,Illumise,ILLUMISE,TRUE,314,2,314
ROSELIA,ROSELIA,,3,FALSE,FALSE,FALSE,Thorn Pokémon,GRASS,POISON,0.3,2,NATURAL_CURE,POISON_POINT,LEAF_GUARD,400,50,60,45,100,80,65,150,50,140,MEDIUM_SLOW,50,Roselia,BUDEW,TRUE,315,,406
GULPIN,GULPIN,,3,FALSE,FALSE,FALSE,Stomach Pokémon,POISON,,0.4,10.3,LIQUID_OOZE,STICKY_HOLD,GLUTTONY,302,70,43,53,43,53,40,225,70,60,FLUCTUATING,50,Gulpin,GULPIN,TRUE,316,1,316
SWALOT,SWALOT,,3,FALSE,FALSE,FALSE,Poison Bag Pokémon,POISON,,1.7,80,LIQUID_OOZE,STICKY_HOLD,GLUTTONY,467,100,73,83,73,83,55,75,70,163,FLUCTUATING,50,Swalot,GULPIN,TRUE,317,,316
CARVANHA,CARVANHA,,3,FALSE,FALSE,FALSE,Savage Pokémon,WATER,DARK,0.8,20.8,ROUGH_SKIN,NONE,SPEED_BOOST,305,45,90,20,65,20,65,225,35,61,SLOW,50,Carvanha,CARVANHA,FALSE,318,3,318
SHARPEDO,SHARPEDO,,3,FALSE,FALSE,FALSE,Brutal Pokémon,WATER,DARK,1.8,88.8,ROUGH_SKIN,NONE,SPEED_BOOST,460,70,120,40,95,40,95,60,35,161,SLOW,50,Sharpedo,CARVANHA,FALSE,319,,318
SHARPEDO (Normal),SHARPEDO,Normal,,,,,,WATER,DARK,1.8,88.8,ROUGH_SKIN,NONE,SPEED_BOOST,460,70,120,40,95,40,95,60,35,161,,,Sharpedo,CARVANHA,FALSE,319,,318
SHARPEDO (Mega),SHARPEDO,Mega,,,,,,WATER,DARK,2.5,130.3,STRONG_JAW,NONE,STRONG_JAW,560,70,140,70,110,65,105,60,35,161,,,Sharpedo,CARVANHA,FALSE,319,,318
WAILMER,WAILMER,,3,FALSE,FALSE,FALSE,Ball Whale Pokémon,WATER,,2,130,WATER_VEIL,OBLIVIOUS,PRESSURE,400,130,70,35,70,35,60,125,50,80,FLUCTUATING,50,Wailmer,WAILMER,TRUE,320,2,320
WAILORD,WAILORD,,3,FALSE,FALSE,FALSE,Float Whale Pokémon,WATER,,14.5,398,WATER_VEIL,OBLIVIOUS,PRESSURE,500,170,90,45,90,45,60,60,50,175,FLUCTUATING,50,Wailord,WAILMER,TRUE,321,,320
NUMEL,NUMEL,,3,FALSE,FALSE,FALSE,Numb Pokémon,FIRE,GROUND,0.7,24,OBLIVIOUS,SIMPLE,OWN_TEMPO,305,60,60,40,65,45,35,255,70,61,MEDIUM_FAST,50,Numel,NUMEL,FALSE,322,2,322
CAMERUPT,CAMERUPT,,3,FALSE,FALSE,FALSE,Eruption Pokémon,FIRE,GROUND,1.9,220,MAGMA_ARMOR,SOLID_ROCK,ANGER_POINT,460,70,100,70,105,75,40,150,70,161,MEDIUM_FAST,50,Camerupt,NUMEL,FALSE,323,,322
CAMERUPT (Normal),CAMERUPT,Normal,,,,,,FIRE,GROUND,1.9,220,MAGMA_ARMOR,SOLID_ROCK,ANGER_POINT,460,70,100,70,105,75,40,150,70,161,,,Camerupt,NUMEL,FALSE,323,,322
CAMERUPT (Mega),CAMERUPT,Mega,,,,,,FIRE,GROUND,2.5,320.5,SHEER_FORCE,SHEER_FORCE,SHEER_FORCE,560,70,120,100,145,105,20,150,70,161,,,Camerupt,NUMEL,FALSE,323,,322
TORKOAL,TORKOAL,,3,FALSE,FALSE,FALSE,Coal Pokémon,FIRE,,0.5,80.4,WHITE_SMOKE,DROUGHT,SHELL_ARMOR,470,70,85,140,85,70,20,90,50,165,MEDIUM_FAST,50,Torkoal,TORKOAL,FALSE,324,3,324
SPOINK,SPOINK,,3,FALSE,FALSE,FALSE,Bounce Pokémon,PSYCHIC,,0.7,30.6,THICK_FAT,OWN_TEMPO,GLUTTONY,330,60,25,35,70,80,60,255,70,66,FAST,50,Spoink,SPOINK,TRUE,325,2,325
GRUMPIG,GRUMPIG,,3,FALSE,FALSE,FALSE,Manipulate Pokémon,PSYCHIC,,0.9,71.5,THICK_FAT,OWN_TEMPO,GLUTTONY,470,80,45,65,90,110,80,60,70,165,FAST,50,Grumpig,SPOINK,TRUE,326,,325
SPINDA,SPINDA,,3,FALSE,FALSE,FALSE,Spot Panda Pokémon,NORMAL,,1.1,5,OWN_TEMPO,TANGLED_FEET,CONTRARY,360,60,60,60,60,60,60,255,70,126,FAST,50,Spinda,SPINDA,TRUE,327,1,327
TRAPINCH,TRAPINCH,,3,FALSE,FALSE,FALSE,Ant Pit Pokémon,GROUND,,0.7,15,HYPER_CUTTER,ARENA_TRAP,SHEER_FORCE,290,45,100,45,45,45,10,255,50,58,MEDIUM_SLOW,50,Trapinch,TRAPINCH,TRUE,328,3,328
VIBRAVA,VIBRAVA,,3,FALSE,FALSE,FALSE,Vibration Pokémon,GROUND,DRAGON,1.1,15.3,LEVITATE,NONE,NONE,340,50,70,50,50,50,70,120,50,119,MEDIUM_SLOW,50,Vibrava,TRAPINCH,TRUE,329,,328
FLYGON,FLYGON,,3,FALSE,FALSE,FALSE,Mystic Pokémon,GROUND,DRAGON,2,82,LEVITATE,NONE,NONE,520,80,100,80,80,80,100,45,50,260,MEDIUM_SLOW,50,Flygon,TRAPINCH,TRUE,330,,328
CACNEA,CACNEA,,3,FALSE,FALSE,FALSE,Cactus Pokémon,GRASS,,0.4,51.3,SAND_VEIL,NONE,WATER_ABSORB,335,50,85,40,85,40,35,190,35,67,MEDIUM_SLOW,50,Cacnea,CACNEA,TRUE,331,2,331
CACTURNE,CACTURNE,,3,FALSE,FALSE,FALSE,Scarecrow Pokémon,GRASS,DARK,1.3,77.4,SAND_VEIL,NONE,WATER_ABSORB,475,70,115,60,115,60,55,60,35,166,MEDIUM_SLOW,50,Cacturne,CACNEA,TRUE,332,,331
SWABLU,SWABLU,,3,FALSE,FALSE,FALSE,Cotton Bird Pokémon,NORMAL,FLYING,0.4,1.2,NATURAL_CURE,NONE,CLOUD_NINE,310,45,40,60,40,75,50,255,50,62,ERRATIC,50,Swablu,SWABLU,TRUE,333,2,333
ALTARIA,ALTARIA,,3,FALSE,FALSE,FALSE,Humming Pokémon,DRAGON,FLYING,1.1,20.6,NATURAL_CURE,NONE,CLOUD_NINE,490,75,70,90,70,105,80,45,50,172,ERRATIC,50,Altaria,SWABLU,TRUE,334,,333
ALTARIA (Normal),ALTARIA,Normal,,,,,,DRAGON,FLYING,1.1,20.6,NATURAL_CURE,NONE,CLOUD_NINE,490,75,70,90,70,105,80,45,50,172,,,Altaria,SWABLU,TRUE,334,,333
ALTARIA (Mega),ALTARIA,Mega,,,,,,DRAGON,FAIRY,1.5,20.6,PIXILATE,NONE,PIXILATE,590,75,110,110,110,105,80,45,50,172,,,Altaria,SWABLU,TRUE,334,,333
ZANGOOSE,ZANGOOSE,,3,FALSE,FALSE,FALSE,Cat Ferret Pokémon,NORMAL,,1.3,40.3,IMMUNITY,NONE,TOXIC_BOOST,458,73,115,60,60,60,90,90,70,160,ERRATIC,50,Zangoose,ZANGOOSE,TRUE,335,4,335
SEVIPER,SEVIPER,,3,FALSE,FALSE,FALSE,Fang Snake Pokémon,POISON,,2.7,52.5,SHED_SKIN,NONE,INFILTRATOR,458,73,100,60,100,60,65,90,70,160,FLUCTUATING,50,Seviper,SEVIPER,TRUE,336,3,336
LUNATONE,LUNATONE,,3,FALSE,FALSE,FALSE,Meteorite Pokémon,ROCK,PSYCHIC,1,168,LEVITATE,NONE,NONE,460,90,55,65,95,85,70,45,50,161,FAST,null,Lunatone,LUNATONE,TRUE,337,3,337
SOLROCK,SOLROCK,,3,FALSE,FALSE,FALSE,Meteorite Pokémon,ROCK,PSYCHIC,1.2,154,LEVITATE,NONE,NONE,460,90,95,85,55,65,70,45,50,161,FAST,null,Solrock,SOLROCK,TRUE,338,3,338
BARBOACH,BARBOACH,,3,FALSE,FALSE,FALSE,Whiskers Pokémon,WATER,GROUND,0.4,1.9,OBLIVIOUS,ANTICIPATION,HYDRATION,288,50,48,43,46,41,60,190,50,58,MEDIUM_FAST,50,Barboach,BARBOACH,TRUE,339,2,339
WHISCASH,WHISCASH,,3,FALSE,FALSE,FALSE,Whiskers Pokémon,WATER,GROUND,0.9,23.6,OBLIVIOUS,ANTICIPATION,HYDRATION,468,110,78,73,76,71,60,75,50,164,MEDIUM_FAST,50,Whiscash,BARBOACH,TRUE,340,,339
CORPHISH,CORPHISH,,3,FALSE,FALSE,FALSE,Ruffian Pokémon,WATER,,0.6,11.5,HYPER_CUTTER,SHELL_ARMOR,ADAPTABILITY,308,43,80,65,50,35,35,205,50,62,FLUCTUATING,50,Corphish,CORPHISH,TRUE,341,3,341
CRAWDAUNT,CRAWDAUNT,,3,FALSE,FALSE,FALSE,Rogue Pokémon,WATER,DARK,1.1,32.8,HYPER_CUTTER,SHELL_ARMOR,ADAPTABILITY,468,63,120,85,90,55,55,155,50,164,FLUCTUATING,50,Crawdaunt,CORPHISH,TRUE,342,,341
BALTOY,BALTOY,,3,FALSE,FALSE,FALSE,Clay Doll Pokémon,GROUND,PSYCHIC,0.5,21.5,LEVITATE,NONE,NONE,300,40,40,55,40,70,55,255,50,60,MEDIUM_FAST,null,Baltoy,BALTOY,FALSE,343,2,343
CLAYDOL,CLAYDOL,,3,FALSE,FALSE,FALSE,Clay Doll Pokémon,GROUND,PSYCHIC,1.5,108,LEVITATE,NONE,NONE,500,60,70,105,70,120,75,90,50,175,MEDIUM_FAST,null,Claydol,BALTOY,FALSE,344,,343
LILEEP,LILEEP,,3,FALSE,FALSE,FALSE,Sea Lily Pokémon,ROCK,GRASS,1,23.8,SUCTION_CUPS,NONE,STORM_DRAIN,355,66,41,77,61,87,23,45,50,71,ERRATIC,87.5,Lileep,LILEEP,TRUE,345,3,345
CRADILY,CRADILY,,3,FALSE,FALSE,FALSE,Barnacle Pokémon,ROCK,GRASS,1.5,60.4,SUCTION_CUPS,NONE,STORM_DRAIN,495,86,81,97,81,107,43,45,50,173,ERRATIC,87.5,Cradily,LILEEP,TRUE,346,,345
ANORITH,ANORITH,,3,FALSE,FALSE,FALSE,Old Shrimp Pokémon,ROCK,BUG,0.7,12.5,BATTLE_ARMOR,NONE,SWIFT_SWIM,355,45,95,50,40,50,75,45,50,71,ERRATIC,87.5,Anorith,ANORITH,FALSE,347,3,347
ARMALDO,ARMALDO,,3,FALSE,FALSE,FALSE,Plate Pokémon,ROCK,BUG,1.5,68.2,BATTLE_ARMOR,NONE,SWIFT_SWIM,495,75,125,100,70,80,45,45,50,173,ERRATIC,87.5,Armaldo,ANORITH,FALSE,348,,347
